,Road,Name,Average Chainage,Start_LRP,End_LRP,Total Cargo,Total People,Total Transport,Total Transport Weight,SourceSink Cargo Weight,SourceSink People Weight
28,N105,Vogra Bypass(Int.with N3)-End of Road (Int.with N4),48.881,LRP045,LRPE,5216.0,5157.0,10373.0,0.006560215735157773,0.03207635352864487,0.01751704319647825
29,N105,"Madanpur (13th km of N1)-Nayapur, Bostail (Int.with R114)",0.0,LRPS,LRP006,4999.0,8112.0,13111.0,0.008291814181399166,0.030741888667503013,0.02755444142133635
30,N8,Lebukhali (Int. with Z8806)-End of N8,205.127,LRP194,LRP205,955.0,3533.0,4488.0,0.0028383542099091955,0.005872875310555186,0.012000720111141682
31,N8,Jatrabari-Jurain (int.with R810),0.0,LRPS,LRPS,3677.0,17946.0,21623.0,0.013675074215879351,0.022612107347551227,0.06095808749350371
32,N204,Chunarughat (Int.with Z2008)-Shaisthaganj,34.421,LRP022,LRPE,366.0,1905.0,2271.0,0.0014362527653083296,0.002250756401741569,0.006470810023131872
33,N204,Jagadishpur-Chunarughat (Int.with Z2008),0.0,LRPS,LRP022,366.0,1905.0,2271.0,0.0014362527653083296,0.002250756401741569,0.006470810023131872
34,N207,Moulvibazar (Int.with N208)-Sherpur,67.985,LRP043,LRPE,766.0,4272.0,5038.0,0.0031861917356333616,0.004710599463754212,0.014510918855023284
35,N207,Mirpur-Natun Bazar (Int.with Z2008),0.0,LRPS,LRP001,766.0,4272.0,5038.0,0.0031861917356333616,0.004710599463754212,0.014510918855023284
36,N208,Royal City Chottor(int.with N210)-Int.with N2,57.495,LRP054,LRP058,2191.0,7297.0,9488.0,0.006000513534674342,0.013473790372174256,0.024786089626663135
37,N208,Moulvibazar-Int.with Z2002,0.0,LRPS,LRPS,964.0,6550.0,7514.0,0.004752093033257062,0.005928221779450471,0.022248716877435046
